name,product_id,price,brand,age,images,color,shoes sizes
Jordan Men's Point Lane Black Sneaker,060601ACJY1," R 2,599.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57739904.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57739904_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Nike Junior Air Force 1 White/Black Sneaker,060601ACIG7," R 1,699.95",Nike,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57727192.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57727192_01.jpg']]",White/Black,"['3', '4', '5', '6']"
Nike Men's PG5 Black Sneaker,060601ACKG2," R 2,199.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57741342.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57741342_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
Nike Junior Blazer Mid '77 SE Black/White Sneaker,060601ACIG8," R 1,599.95",Nike,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57727188.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57727188_01.jpg']]",Black/White,"['3', '4', '5', '6']"
Nike Men's Blazer Low X Brown Sneaker,060601ACJZ7," R 1,799.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57740205.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57740205_01.jpg']]",Brown,"['6', '7', '8', '9', '10', '11', '12']"
Nike Men's Air Max 90 White Sneaker,060601ACJY0," R 2,599.95",Nike,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57739903.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57739903_01.jpg']]",White,"['6', '7', '8', '9', '10', '11']"
Nike Junior Waffle Trainer 2 Black/White Sneaker,060601ACIH4," R 1,299.95",Nike,kid,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57728207.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57728207_01.jpg']]",Black/White,"['3', '4', '5', '6']"
Reebok Men's CL Legacy Black Sneaker,060601ACSQ1," R 1,599.95",Reebok,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59113370.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/59113370_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 Black Sneaker,060609AAAG6," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57724521.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57724521_01.jpg']]",Black,"['6', '7', '8', '9', '10', '11']"
New Balance Men's 237 Burgundy Sneaker,060609AAAG5," R 1,299.95",New Balance,men,"[['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57724494.jpg'], ['https://image.tfgmedia.co.za/image/1/process/259x259?source=https://cdn.tfgmedia.co.za/06/ProductImages/57724494_01.jpg']]",Burgundy,"['6', '7', '8', '9', '10', '11']"
