name,product_id,price,brand,age,images,color,shoes sizes
Stan Smith - ftwr white/core black,676003,1499.00,adidas Originals,Men - Sneakers,"['https://assets.superbalistcdn.co.za/2245795/original.jpg', 'http://assets.superbalistcdn.co.za/2245795/original.jpg']",Ftwr white/ftwr white/core black,"['UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11', 'UK 12', 'UK 13', 'UK 3', 'UK 4', 'UK 4.5', 'UK 5', 'UK 5.5']"
NMD_R1 - halo blush/ftwr white/core black,676111,2799.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246268/original.jpg', 'http://assets.superbalistcdn.co.za/2246268/original.jpg']",Halo Blush / Cloud White / Core Black,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Courtpoint - core black/iron met./ftwr white,676123,899.00,adidas Performance,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246337/original.jpg', 'http://assets.superbalistcdn.co.za/2246337/original.jpg']",Core black/iron met./ftwr white,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Court Tourino - ftwr white/core black,676107,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2247407/original.jpg', 'http://assets.superbalistcdn.co.za/2247407/original.jpg']",Ftwr white/ftwr white/core black,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Futurecourt - h68185 - ftwr white/ftwr white/wonder white,676124,1599.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2224707/original.jpg', 'http://assets.superbalistcdn.co.za/2224707/original.jpg']",Ftwr White & Wonder White,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Top Sleek - ftwr white/gold met.,676108,1599.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2247421/original.jpg', 'http://assets.superbalistcdn.co.za/2247421/original.jpg']",Ftwr white/ftwr white/gold met.,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
ZX 1K Boost - clear pink/ftwr white/violet tone,676112,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246020/original.jpg', 'http://assets.superbalistcdn.co.za/2246020/original.jpg']",Clear pink/ftwr white/violet tone,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Trail destroyer w - deep purple/sky captain/fuchsia rose,700497,899.00,Hi-Tec,Women - Pumps & Flats,"['https://assets.superbalistcdn.co.za/2247634/original.jpg', 'http://assets.superbalistcdn.co.za/2247634/original.jpg']","Deep Purple, Sky Captain & Fuchsia Rose","['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Choigo - ftwr white/pulse yellow/light purple,676101,1999.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246044/original.jpg', 'http://assets.superbalistcdn.co.za/2246044/original.jpg']",Ftwr white/pulse yellow/light purple,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Forum low - ftwr white/shock pink,676102,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246945/original.jpg', 'http://assets.superbalistcdn.co.za/2246945/original.jpg']",Ftwr white/ftwr white/shock pink,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
ZX 1K Boost - wonder white/wonder white/acid orange,676113,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246288/original.jpg', 'http://assets.superbalistcdn.co.za/2246288/original.jpg']",Wonder white/wonder white/acid orange,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
Choigo - ftwr white/matte silver/rose tone,676115,1999.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246278/original.jpg', 'http://assets.superbalistcdn.co.za/2246278/original.jpg']",Ftwr white/matte silver/rose tone,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
HER Studio London Forum bold,676117,1999.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246383/original.jpg', 'http://assets.superbalistcdn.co.za/2246383/original.jpg']","Ftwr White, Supplier Colour & Matte Gold","['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
HER Studio London Superstar,676116,1699.00,adidas Originals,Women - Sneakers,"['https://assets.superbalistcdn.co.za/2246034/original.jpg', 'http://assets.superbalistcdn.co.za/2246034/original.jpg']",Ftwr white/matte gold,"['UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8']"
