name,product_id,price,brand,age,images,color,shoes sizes
Air Force 1 React White Black Red,4490687283296,1199,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/93_ad913e5b-5abb-4214-88ef-92f4f2bdd5c0.jpg?v=1595007995', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/94_98d4c088-b5a2-471d-bd91-75299eed3bee.jpg?v=1595007995', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/95_092985d5-bbed-48dc-9fcc-e55f2a86d661.jpg?v=1595007995', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/96_35de4911-124e-4602-b0aa-d36b1622b0c3.jpg?v=1595007995']",none,['Uk 8.5']
Louis Vuitton Street Light High Top,6882191245461,9999,Louis Vuitton,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/LV-streetlight_ewbsci.jpg?v=1622653866', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/cghfhgf_gk8xak.jpg?v=1625904641']",none,['Uk 9']
Jordan 12 Retro Chris Paul Class Of 2003,6970755383445,4499,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/brdtbrge_bz6xrh.jpg?v=1625903943', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/jfyuf_ltvng2_4f5b2ee7-6d68-4db2-8b9a-2cc8333283da.jpg?v=1625903943', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hfhtgfg_hpfzip_ca74768a-438e-4571-bf19-e8c963607933.jpg?v=1625903943', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hftyjjytdtyjd_czf24s.jpg?v=1625903943']",none,['Uk 9']
Air Jordan 1 Retro High 'Rookie of the Year',4290880634976,13999,Jordan,MEN,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/85_16ae192e-4a5a-466c-b2de-00f34113aadf.jpg?v=1571914199', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/86_856bdfff-bbbc-40a8-aff5-c9c31f6fd872.jpg?v=1571914209', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/87_ce312ac6-fb15-4ded-8469-9d2821c81cc7.jpg?v=1571914213', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/88_0cac1a66-b20f-4acd-82c5-9d0cc637f15e.jpg?v=1571914218']",GOLDEN HARVEST/BLACK-SAIL,['Uk 8']
Nike Air Safari SE Multi,6940407595157,2299,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/safari-am1-se_kvtywa.jpg?v=1624605841', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/e565656rr6j_x8a1vi.jpg?v=1625846161']",none,['Uk 7']
Nike Blazer Low sacai White Magma Orange,6942207803541,5299,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/cjehabjefq_awoef3.jpg?v=1624624630', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/htrbhrytn_bcake3.jpg?v=1625845519', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/tyjfyyujt_d1uliz.jpg?v=1625845519', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/jntyuj_uqoaz4.jpg?v=1625845519']",none,"['Uk 8', 'Uk 9', 'Uk 10']"
Nike Air Force 1 Low Supreme Black,6942381801621,6499,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/dfxhzzfg_a2jdg1.jpg?v=1624628912', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/etyhe5_udicay.jpg?v=1625845222']",none,['Uk 7.5']
Nike Dunk Low Lemon Drop (W),6942523261077,10999,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/ghfsdhrts_doee0t.jpg?v=1625314446', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/hivgthrgv_e6i0ik.jpg?v=1625845034']",none,['Uk 9']
adidas Alphaedge 4D Parley White Aero Green,6946321760405,4499,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/grasdrezdfrgde_nd6ioe.jpg?v=1624879422', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/jhcfrjhef_wbafyt.jpg?v=1625844752']",none,['Uk 9']
Nike Dunk High fragment design Bejing (2021) (PS),6967694852245,2899,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/rtsdgrstsrt_ybmuf3.jpg?v=1625751286', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/rtdfbrs_lioasi.jpg?v=1625841648']",none,['Uk 2']
Nike Air Force 1 Low Raygun,6969190121621,3799,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/raygy_ti3gis.jpg?v=1625829709', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/sfdgvwere_swx4a6.jpg?v=1625841505', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/rf4hgfekuyr_svqw8s.jpg?v=1625841505', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/gredbet_zyffsx.jpg?v=1625841505', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/gdbdfaf_gvbrps.jpg?v=1625841505']",none,['Uk 9']
Jordan 1 Low OG Neutral Grey (2021),6946777727125,4299,Jordan,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/AJ1-LOW-NEUTRAL-M_khlfgg.jpg?v=1624953242', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/grdtgsrtestr_b24kpv.jpg?v=1625831888']",WHITE/NEUTRAL GREY,"['Uk 4', 'Uk 5', 'Uk 7', 'Uk 9', 'Uk 10', 'Uk 11']"
adidas Harden Stepback Core Black Signal Coral,6951903690901,1799,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/HARDEN_agzqtq.jpg?v=1625044850', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/grdsshtrs_h1wkdx.jpg?v=1625831669']",none,['Uk 9']
adidas Superstar Olivia Oblanc x Ji Won Choi (W),6951919157397,2499,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/SUPSTAR_rzhldg.jpg?v=1625045204', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/jhgfgfhjf_x5a39z.jpg?v=1625830934']",none,['Uk 7']
Nike Air Force 1 '07 Black/Black,6951965360277,1499,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/blackaf1_znfh3s.jpg?v=1625046108', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/gssegreef_rodo4m.jpg?v=1625830718']",none,['Uk 11']
OFF-WHITE Slides Industrial,6967325851797,2999,OFF-WHITE,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/mgjuyguyg_dyvmoe.jpg?v=1625830738', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/rfvrfvfsefvewf_knah0v.jpg?v=1625830738']",none,['Uk 10']
Air Force 1 Low A Cold Wall Black 2018 Men,4395544445024,5999,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/65_309d6663-f2cb-4ba8-8c56-2751b9707870.jpg?v=1595199904', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/66_2460cd54-cdfa-4b46-95a3-00512142067d.jpg?v=1595199904', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/67_5a4f2837-69a8-4909-86a0-dc399627ebc5.jpg?v=1595199904', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/68_c2bdb8cb-56b6-48dd-b5f3-8aaf3255ab0d.jpg?v=1595199904']",none,['Uk 7.5']
Nike Air Force 1 '07 LV8 Black,6952027127957,1499,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/blackaf1obsidian_w7o2iv.jpg?v=1625047326', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/fdggsrrf_ydaxjm.jpg?v=1625825162']",none,['Uk 12']
Nike Waffle Racer Green Nebula,6968962089109,2899,Nike,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/WAFFLE_vpytox.jpg?v=1625821492', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/ytfyjfjy_j2w4re.jpg?v=1625823597', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/rewtvgrt_hnypi6.jpg?v=1625823598', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/etyrbeyt5_lxsfz9.jpg?v=1625823598', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/ytjfyjtfdyutj_eomowg.jpg?v=1625823598']",none,['Uk 9.5']
adidas AW Puff Trainer Alexander Wang Core Black Solar Green,6967866261653,4199,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/egrwtrgrte_bbxjkp.jpg?v=1625823149', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/trebetryb_fb0mn0.jpg?v=1625823149', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/fsvrsgrg_t8gdp1.jpg?v=1625823149']",none,['Uk 7']
adidas AW Bball Alexander Wang Triple White,6967871668373,4199,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/adidas-AW-Bball-Alexander-Wang-Triple-White.png?v=1625761797', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/segdffggb_qs08dr.jpg?v=1625822109']",none,['Uk 7']
adidas AW Turnout Trainer Alexander Wang Clear Mint Core Black,6967876812949,4199,adidas,none,"['//cdn.shopify.com/s/files/1/0003/2689/3632/products/hgfyfjytftjy_agjmsd.jpg?v=1625821682', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/gesgfvaeer_hjpi8r.jpg?v=1625821682', '//cdn.shopify.com/s/files/1/0003/2689/3632/products/rtbwrtrbs_xepowa.jpg?v=1625821682']",none,['Uk 12']
