name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
Travancore Ayurveda - Gachibowli,https://images1-fabric.practo.com/practices/1196207/travancore-ayurveda-gachibowli-hyderabad-5d8478785b54c.JPG,"Gachibowli, Hyderabad",MBBS,null,null,"Gachibowli, Hyderabad",Ayurveda,null,"eng,hindi",null,Travancore Ayurveda - Gachibowli,null,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-gachibowli?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-gachibowli?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-gachibowli?specialization=Ayurveda
Travancore Ayurveda - Madinaguda,https://images1-fabric.practo.com/practices/1208206/travancore-ayurveda-madinaguda-hyderabad-5d84765233736.JPG,"Madinaguda, Hyderabad",MBBS,null,null,"Madinaguda, Hyderabad",Ayurveda,null,"eng,hindi",null,Travancore Ayurveda - Madinaguda,null,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-madinaguda?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-madinaguda?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-madinaguda?specialization=Ayurveda
Travancore Ayurveda - Sainikpuri,https://images1-fabric.practo.com/practices/1219232/travancore-ayurveda-sainikpuri-hyderabad-5d847854957f6.JPG,"Sainikpuri, Hyderabad",MBBS,null,null,"Sainikpuri, Hyderabad",Ayurveda,null,"eng,hindi",null,Travancore Ayurveda - Sainikpuri,null,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-sainikpuri?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-sainikpuri?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-sainikpuri?specialization=Ayurveda
Travancore Ayurveda,https://images1-fabric.practo.com/practices/1223878/travancore-ayurveda-jubilee-hills-hyderabad-5d84771d947cc.JPG,"Jubilee Hills, Hyderabad",MBBS,null,null,"Jubilee Hills, Hyderabad",Ayurveda,null,"eng,hindi",null,Travancore Ayurveda,null,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-jubilee-hills-jubilee-hills?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-jubilee-hills-jubilee-hills?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/travancore-ayurveda-jubilee-hills-jubilee-hills?specialization=Ayurveda
Bodhi Wellness Centre,https://images1-fabric.practo.com/practices/1245800/bodhi-wellness-centre-hyderabad-5c792f045a5a7.png,"Chandra Nagar, Hyderabad",MBBS,null,null,"Chandra Nagar, Hyderabad",Ayurveda,null,"eng,hindi",null,Bodhi Wellness Centre,null,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-chandra-nagar?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-chandra-nagar?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-chandra-nagar?specialization=Ayurveda
Bodhi Wellness Centre,https://images1-fabric.practo.com/practices/1245803/bodhi-wellness-centre-hyderabad-5c7931c2af757.png,"Gachibowli, Hyderabad",MBBS,null,null,"Gachibowli, Hyderabad",Ayurveda,null,"eng,hindi",null,Bodhi Wellness Centre,null,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-gachibowli?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-gachibowli?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-gachibowli?specialization=Ayurveda
Bodhi Wellness Centre,https://images1-fabric.practo.com/practices/1245807/bodhi-wellness-centre-hyderabad-5c79354787968.png,"Manikonda, Hyderabad",MBBS,null,null,"Manikonda, Hyderabad",Ayurveda,null,"eng,hindi",null,Bodhi Wellness Centre,null,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-manikonda?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-manikonda?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-manikonda?specialization=Ayurveda
Bodhi Wellness Centre,https://images1-fabric.practo.com/practices/1245809/bodhi-wellness-centre-hyderabad-5c7936b34afaf.png,"Khairatabad, Hyderabad",MBBS,null,null,"Khairatabad, Hyderabad",Ayurveda,null,"eng,hindi",null,Bodhi Wellness Centre,null,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-khairatabad?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-khairatabad?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/bodhi-wellness-centre-khairatabad?specialization=Ayurveda
Acharya Manish Ji Ayurveda Centre,https://images1-fabric.practo.com/practices/1246066/acharya-manish-ji-ayurveda-centre-hyderabad-5f0c187c74e63.jpg,"Ameerpet, Hyderabad",MBBS,null,null,"Ameerpet, Hyderabad",Ayurveda,null,"eng,hindi",null,Acharya Manish Ji Ayurveda Centre,null,https://www.practo.com/hyderabad/clinic/acharya-manish-ji-ayurveda-centre-ameerpet?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/acharya-manish-ji-ayurveda-centre-ameerpet?specialization=Ayurveda,https://www.practo.com/hyderabad/clinic/acharya-manish-ji-ayurveda-centre-ameerpet?specialization=Ayurveda
Atharv Multi Speciality Ayurveda Hospital,https://images1-fabric.practo.com/atharva-multi-speciality-ayurveda-hospital-1444390978-5617a84223ed6.png/thumbnail,"Rajkot Raiya Road, Rajkot",MBBS,null,null,"Rajkot Raiya Road, Rajkot",Ayurveda,null,"eng,hindi",4.0,Atharv Multi Speciality Ayurveda Hospital,null,https://www.practo.com/rajkot/hospital/atharva-multi-speciality-ayurveda-hospital-rajkot-raiya-road?specialization=Ayurveda,https://www.practo.com/rajkot/hospital/atharva-multi-speciality-ayurveda-hospital-rajkot-raiya-road?specialization=Ayurveda,https://www.practo.com/rajkot/hospital/atharva-multi-speciality-ayurveda-hospital-rajkot-raiya-road?specialization=Ayurveda
